VOTING_PRECINCT,PercentPoor,PercentUnemployed,AvgFamilyIncome
Precinct 1,20.0,7.4,91675
Precinct 2,38.0,8.5,44428
Precinct 3,22.0,2.9,248284
Precinct 4,19.0,2.8,196747
Precinct 5,3.6,4.2,370028
Precinct 6,21.0,4.8,246504
Precinct 7,14.0,4.2,245661
Precinct 8,7.8,4.6,361917
Precinct 9,11.0,9.6,393252
Precinct 10,17.0,5.1,323605
Precinct 11,14.0,3.6,181112
Precinct 12,9.2,2.1,435446
Precinct 13,5.7,2.7,216664
Precinct 14,14.0,2.8,206400
Precinct 15,8.1,1.0,159752
Precinct 16,8.1,2.8,190692
Precinct 17,12.0,3.7,141210
Precinct 18,20.0,4.1,89129
Precinct 19,13.0,9.4,116535
Precinct 20,19.0,10.0,92614
Precinct 21,18.0,7.1,83805
Precinct 22,13.0,4.8,170620
Precinct 23,14.0,8.2,87812
Precinct 24,10.0,5.7,143435
Precinct 25,4.2,2.9,198443
Precinct 26,4.0,2.1,266977
Precinct 27,8.9,3.0,300585
Precinct 28,10.0,3.9,179738
Precinct 29,24.0,4.6,201860
Precinct 30,5.5,2.4,198761
Precinct 31,4.7,2.3,199554
Precinct 32,4.0,3.5,255862
Precinct 33,5.1,1.7,195113
Precinct 34,11.0,3.6,194520
Precinct 35,10.0,8.5,157043
Precinct 36,17.0,7.5,78277
Precinct 37,19.0,10.0,82120
Precinct 38,14.0,6.8,94037
Precinct 39,15.0,4.9,112365
Precinct 40,14.0,6.2,115167
Precinct 41,18.0,7.8,55363
Precinct 42,7.5,5.3,106565
Precinct 43,15.0,7.2,96850
Precinct 44,22.0,8.6,60398
Precinct 45,8.8,9.5,104544
Precinct 46,10.0,10.0,103298
Precinct 47,13.0,6.2,136049
Precinct 48,16.0,9.0,148384
Precinct 49,13.0,7.2,112129
Precinct 50,8.2,4.1,270315
Precinct 51,2.3,3.0,246153
Precinct 52,7.4,3.0,239167
Precinct 53,6.8,7.5,129112
Precinct 54,13.0,11.0,121171
Precinct 55,16.0,14.0,92896
Precinct 56,15.0,11.0,80397
Precinct 57,21.0,12.0,81037
Precinct 58,12.0,9.4,86330
Precinct 59,10.0,8.8,95125
Precinct 60,15.0,8.6,72222
Precinct 61,15.0,8.9,69737
Precinct 62,5.2,9.1,199221
Precinct 63,16.0,12.0,101955
Precinct 64,11.0,13.0,102140
Precinct 65,10.0,23.0,87327
Precinct 66,6.0,19.0,85163
Precinct 67,10.0,11.0,93945
Precinct 68,16.0,12.0,75116
Precinct 69,12.0,18.0,96706
Precinct 70,10.0,17.0,100283
Precinct 71,19.0,16.0,100981
Precinct 72,26.0,15.0,72272
Precinct 73,7.7,14.0,100687
Precinct 74,28.0,20.0,74501
Precinct 75,17.0,9.2,101792
Precinct 76,46.0,23.0,34161
Precinct 77,26.0,17.0,78043
Precinct 78,32.0,16.0,39677
Precinct 79,25.0,19.0,52306
Precinct 80,31.0,13.0,68656
Precinct 81,16.0,12.0,107510
Precinct 82,9.8,7.6,122466
Precinct 83,14.0,5.8,149115
Precinct 84,5.1,3.0,176869
Precinct 85,3.4,2.2,205070
Precinct 86,7.2,6.8,141322
Precinct 87,9.7,8.9,127891
Precinct 88,3.9,3.0,218587
Precinct 89,5.3,3.5,243689
Precinct 90,5.1,3.3,208683
Precinct 91,16.0,9.0,131062
Precinct 92,43.0,33.0,42873
Precinct 93,26.0,19.0,52629
Precinct 94,24.0,14.0,50353
Precinct 95,22.0,22.0,65666
Precinct 96,30.0,30.0,64456
Precinct 97,29.0,13.0,53050
Precinct 98,25.0,16.0,53904
Precinct 99,21.0,18.0,54776
Precinct 100,42.0,18.0,27680
Precinct 101,9.7,14.0,70935
Precinct 102,17.0,20.0,74601
Precinct 103,40.0,24.0,38072
Precinct 104,31.0,19.0,50078
Precinct 105,23.0,17.0,59210
Precinct 106,27.0,19.0,48666
Precinct 107,47.0,24.0,38011
Precinct 108,11.0,11.0,108784
Precinct 109,9.8,10.0,113051
Precinct 110,16.0,11.0,71940
Precinct 111,23.0,19.0,60719
Precinct 112,29.0,14.0,50718
Precinct 113,20.0,10.0,75611
Precinct 114,48.0,18.0,41372
Precinct 115,52.0,24.0,37806
Precinct 116,35.0,20.0,35537
Precinct 117,40.0,28.0,47594
Precinct 118,28.0,11.0,39186
Precinct 119,46.0,19.0,31642
Precinct 120,41.0,23.0,43321
Precinct 121,41.0,30.0,42248
Precinct 122,36.0,28.0,49197
Precinct 123,18.0,12.0,74658
Precinct 124,42.0,27.0,43352
Precinct 125,37.0,34.0,33980
Precinct 126,40.0,25.0,53961
Precinct 127,19.0,7.4,85337
Precinct 128,12.0,9.0,110420
Precinct 129,14.0,5.0,127164
Precinct 130,7.9,3.1,225909
Precinct 131,12.0,6.0,133537
Precinct 132,31.0,33.0,43889
Precinct 133,24.0,17.0,59906
Precinct 134,50.0,25.0,50043
Precinct 135,9.5,6.3,133424
Precinct 136,6.4,2.3,226260
Precinct 137,13.0,3.7,204232
Precinct 138,6.7,3.4,278837
Precinct 139,18.0,10.0,85413
Precinct 140,24.0,17.0,59906
Precinct 141,7.3,5.0,137867
Precinct 142,6.9,5.2,138594
Precinct 143,15.0,5.4,185830
